# gathered 2026-09-04T10:45:39.919826+00:00
table|index|definition|scans|tup_read|bytes
behavior_events_y2026m08|behavior_events_y2026m08_broker_account_id_idempotency_key__idx|CREATE UNIQUE INDEX behavior_events_y2026m08_broker_account_id_idempotency_key__idx ON public.behavior_events_y2026m08 USING btree (broker_account_id, idempotency_key, detected_at) WHERE (idempotency_key IS NOT NULL)|0|0|98304
behavior_events_y2026m08|behavior_events_y2026m08_detector_detected_at_idx|CREATE INDEX behavior_events_y2026m08_detector_detected_at_idx ON public.behavior_events_y2026m08 USING btree (detector, detected_at)|0|0|57344
behavior_events_y2026m08|behavior_events_y2026m08_id_idx|CREATE INDEX behavior_events_y2026m08_id_idx ON public.behavior_events_y2026m08 USING btree (id)|0|0|57344
behavior_events_y2026m09|behavior_events_y2026m09_broker_account_id_detected_at_idx|CREATE INDEX behavior_events_y2026m09_broker_account_id_detected_at_idx ON public.behavior_events_y2026m09 USING btree (broker_account_id, detected_at)|36571|88|16384
behavior_events_y2026m09|behavior_events_y2026m09_broker_account_id_idempotency_key__idx|CREATE UNIQUE INDEX behavior_events_y2026m09_broker_account_id_idempotency_key__idx ON public.behavior_events_y2026m09 USING btree (broker_account_id, idempotency_key, detected_at) WHERE (idempotency_key IS NOT NULL)|0|0|8192
behavior_events_y2026m09|behavior_events_y2026m09_detector_detected_at_idx|CREATE INDEX behavior_events_y2026m09_detector_detected_at_idx ON public.behavior_events_y2026m09 USING btree (detector, detected_at)|34|0|16384
behavior_events_y2026m09|behavior_events_y2026m09_id_idx|CREATE INDEX behavior_events_y2026m09_id_idx ON public.behavior_events_y2026m09 USING btree (id)|0|0|16384
behavior_events_y2026m10|behavior_events_y2026m10_broker_account_id_detected_at_idx|CREATE INDEX behavior_events_y2026m10_broker_account_id_detected_at_idx ON public.behavior_events_y2026m10 USING btree (broker_account_id, detected_at)|59956|0|8192
behavior_events_y2026m10|behavior_events_y2026m10_broker_account_id_idempotency_key__idx|CREATE UNIQUE INDEX behavior_events_y2026m10_broker_account_id_idempotency_key__idx ON public.behavior_events_y2026m10 USING btree (broker_account_id, idempotency_key, detected_at) WHERE (idempotency_key IS NOT NULL)|0|0|8192
behavior_events_y2026m10|behavior_events_y2026m10_detector_detected_at_idx|CREATE INDEX behavior_events_y2026m10_detector_detected_at_idx ON public.behavior_events_y2026m10 USING btree (detector, detected_at)|34|0|8192
behavior_events_y2026m10|behavior_events_y2026m10_id_idx|CREATE INDEX behavior_events_y2026m10_id_idx ON public.behavior_events_y2026m10 USING btree (id)|0|0|8192
behavior_events_y2026m11|behavior_events_y2026m11_broker_account_id_detected_at_idx|CREATE INDEX behavior_events_y2026m11_broker_account_id_detected_at_idx ON public.behavior_events_y2026m11 USING btree (broker_account_id, detected_at)|13600|0|8192
behavior_events_y2026m11|behavior_events_y2026m11_broker_account_id_idempotency_key__idx|CREATE UNIQUE INDEX behavior_events_y2026m11_broker_account_id_idempotency_key__idx ON public.behavior_events_y2026m11 USING btree (broker_account_id, idempotency_key, detected_at) WHERE (idempotency_key IS NOT NULL)|0|0|8192
behavior_events_y2026m11|behavior_events_y2026m11_detector_detected_at_idx|CREATE INDEX behavior_events_y2026m11_detector_detected_at_idx ON public.behavior_events_y2026m11 USING btree (detector, detected_at)|0|0|8192
behavior_events_y2026m11|behavior_events_y2026m11_id_idx|CREATE INDEX behavior_events_y2026m11_id_idx ON public.behavior_events_y2026m11 USING btree (id)|0|0|8192
behavior_events_y2026m12|behavior_events_y2026m12_broker_account_id_detected_at_idx|CREATE INDEX behavior_events_y2026m12_broker_account_id_detected_at_idx ON public.behavior_events_y2026m12 USING btree (broker_account_id, detected_at)|13600|0|8192
behavior_events_y2026m12|behavior_events_y2026m12_broker_account_id_idempotency_key__idx|CREATE UNIQUE INDEX behavior_events_y2026m12_broker_account_id_idempotency_key__idx ON public.behavior_events_y2026m12 USING btree (broker_account_id, idempotency_key, detected_at) WHERE (idempotency_key IS NOT NULL)|0|0|8192
behavior_events_y2026m12|behavior_events_y2026m12_detector_detected_at_idx|CREATE INDEX behavior_events_y2026m12_detector_detected_at_idx ON public.behavior_events_y2026m12 USING btree (detector, detected_at)|0|0|8192
behavior_events_y2026m12|behavior_events_y2026m12_id_idx|CREATE INDEX behavior_events_y2026m12_id_idx ON public.behavior_events_y2026m12 USING btree (id)|0|0|8192
behavior_events_y2027m01|behavior_events_y2027m01_broker_account_id_detected_at_idx|CREATE INDEX behavior_events_y2027m01_broker_account_id_detected_at_idx ON public.behavior_events_y2027m01 USING btree (broker_account_id, detected_at)|13600|0|8192
behavior_events_y2027m01|behavior_events_y2027m01_broker_account_id_idempotency_key__idx|CREATE UNIQUE INDEX behavior_events_y2027m01_broker_account_id_idempotency_key__idx ON public.behavior_events_y2027m01 USING btree (broker_account_id, idempotency_key, detected_at) WHERE (idempotency_key IS NOT NULL)|0|0|8192
behavior_events_y2027m01|behavior_events_y2027m01_detector_detected_at_idx|CREATE INDEX behavior_events_y2027m01_detector_detected_at_idx ON public.behavior_events_y2027m01 USING btree (detector, detected_at)|0|0|8192
behavior_events_y2027m01|behavior_events_y2027m01_id_idx|CREATE INDEX behavior_events_y2027m01_id_idx ON public.behavior_events_y2027m01 USING btree (id)|0|0|8192
behavior_events_y2027m02|behavior_events_y2027m02_broker_account_id_detected_at_idx|CREATE INDEX behavior_events_y2027m02_broker_account_id_detected_at_idx ON public.behavior_events_y2027m02 USING btree (broker_account_id, detected_at)|13600|0|8192
behavior_events_y2027m02|behavior_events_y2027m02_broker_account_id_idempotency_key__idx|CREATE UNIQUE INDEX behavior_events_y2027m02_broker_account_id_idempotency_key__idx ON public.behavior_events_y2027m02 USING btree (broker_account_id, idempotency_key, detected_at) WHERE (idempotency_key IS NOT NULL)|0|0|8192
behavior_events_y2027m02|behavior_events_y2027m02_detector_detected_at_idx|CREATE INDEX behavior_events_y2027m02_detector_detected_at_idx ON public.behavior_events_y2027m02 USING btree (detector, detected_at)|0|0|8192
behavior_events_y2027m02|behavior_events_y2027m02_id_idx|CREATE INDEX behavior_events_y2027m02_id_idx ON public.behavior_events_y2027m02 USING btree (id)|0|0|8192
behavior_events_y2027m03|behavior_events_y2027m03_broker_account_id_detected_at_idx|CREATE INDEX behavior_events_y2027m03_broker_account_id_detected_at_idx ON public.behavior_events_y2027m03 USING btree (broker_account_id, detected_at)|13600|0|8192
behavior_events_y2027m03|behavior_events_y2027m03_broker_account_id_idempotency_key__idx|CREATE UNIQUE INDEX behavior_events_y2027m03_broker_account_id_idempotency_key__idx ON public.behavior_events_y2027m03 USING btree (broker_account_id, idempotency_key, detected_at) WHERE (idempotency_key IS NOT NULL)|0|0|8192
behavior_events_y2027m03|behavior_events_y2027m03_detector_detected_at_idx|CREATE INDEX behavior_events_y2027m03_detector_detected_at_idx ON public.behavior_events_y2027m03 USING btree (detector, detected_at)|0|0|8192
behavior_events_y2027m03|behavior_events_y2027m03_id_idx|CREATE INDEX behavior_events_y2027m03_id_idx ON public.behavior_events_y2027m03 USING btree (id)|0|0|8192
behavior_events_y2027m04|behavior_events_y2027m04_broker_account_id_detected_at_idx|CREATE INDEX behavior_events_y2027m04_broker_account_id_detected_at_idx ON public.behavior_events_y2027m04 USING btree (broker_account_id, detected_at)|13600|0|8192
behavior_events_y2027m04|behavior_events_y2027m04_broker_account_id_idempotency_key__idx|CREATE UNIQUE INDEX behavior_events_y2027m04_broker_account_id_idempotency_key__idx ON public.behavior_events_y2027m04 USING btree (broker_account_id, idempotency_key, detected_at) WHERE (idempotency_key IS NOT NULL)|0|0|8192
behavior_events_y2027m04|behavior_events_y2027m04_detector_detected_at_idx|CREATE INDEX behavior_events_y2027m04_detector_detected_at_idx ON public.behavior_events_y2027m04 USING btree (detector, detected_at)|0|0|8192
behavior_events_y2027m04|behavior_events_y2027m04_id_idx|CREATE INDEX behavior_events_y2027m04_id_idx ON public.behavior_events_y2027m04 USING btree (id)|0|0|8192
behavior_events_y2027m05|behavior_events_y2027m05_broker_account_id_detected_at_idx|CREATE INDEX behavior_events_y2027m05_broker_account_id_detected_at_idx ON public.behavior_events_y2027m05 USING btree (broker_account_id, detected_at)|13600|0|8192
behavior_events_y2027m05|behavior_events_y2027m05_broker_account_id_idempotency_key__idx|CREATE UNIQUE INDEX behavior_events_y2027m05_broker_account_id_idempotency_key__idx ON public.behavior_events_y2027m05 USING btree (broker_account_id, idempotency_key, detected_at) WHERE (idempotency_key IS NOT NULL)|0|0|8192
behavior_events_y2027m05|behavior_events_y2027m05_detector_detected_at_idx|CREATE INDEX behavior_events_y2027m05_detector_detected_at_idx ON public.behavior_events_y2027m05 USING btree (detector, detected_at)|0|0|8192
behavior_events_y2027m05|behavior_events_y2027m05_id_idx|CREATE INDEX behavior_events_y2027m05_id_idx ON public.behavior_events_y2027m05 USING btree (id)|0|0|8192
behavior_events_y2027m06|behavior_events_y2027m06_broker_account_id_detected_at_idx|CREATE INDEX behavior_events_y2027m06_broker_account_id_detected_at_idx ON public.behavior_events_y2027m06 USING btree (broker_account_id, detected_at)|13600|0|8192
